industry,date,layoff_events,initial_claims
Leisure and Hospitality,2015-09-01,0.0,0.0
Other Services,2015-09-01,0.0,0.0
Agricultural Services,2015-08-01,0.0,0.0
Mining,2015-08-01,0.0,0.0
Manufacturing,2015-08-01,10.0,1190.0
Wholesale Trade,2015-08-01,0.0,0.0
Information,2015-08-01,0.0,0.0
Other Services,2015-08-01,0.0,0.0
Agricultural Services,2015-07-01,0.0,0.0
Mining,2015-07-01,0.0,0.0
Construction,2015-07-01,6.0,517.0
Manufacturing,2015-07-01,18.0,2516.0
Retail Trade,2015-07-01,7.0,895.0
"Transportation, Warehousing, Utilities",2015-07-01,11.0,1053.0
Financial Activities,2015-07-01,3.0,183.0
Professional & Business Services,2015-07-01,8.0,643.0
Leisure and Hospitality,2015-07-01,0.0,0.0
Agricultural Services,2015-06-01,0.0,0.0
Mining,2015-06-01,0.0,0.0
Manufacturing,2015-06-01,10.0,1467.0
Wholesale Trade,2015-06-01,0.0,0.0
"Transportation, Warehousing, Utilities",2015-06-01,11.0,906.0
Financial Activities,2015-06-01,0.0,0.0
Professional & Business Services,2015-06-01,4.0,231.0
Educational and Health Services,2015-06-01,4.0,376.0
Leisure and Hospitality,2015-06-01,6.0,671.0
Agricultural Services,2015-05-01,0.0,0.0
Mining,2015-05-01,0.0,0.0
Manufacturing,2015-05-01,8.0,811.0
Wholesale Trade,2015-05-01,0.0,0.0
Retail Trade,2015-05-01,3.0,186.0
"Transportation, Warehousing, Utilities",2015-05-01,0.0,0.0
Professional & Business Services,2015-05-01,12.0,1093.0
Educational and Health Services,2015-05-01,4.0,261.0
Leisure and Hospitality,2015-05-01,5.0,677.0
Agricultural Services,2015-04-01,0.0,0.0
Manufacturing,2015-04-01,13.0,1362.0
Wholesale Trade,2015-04-01,0.0,0.0
Retail Trade,2015-04-01,4.0,545.0
"Transportation, Warehousing, Utilities",2015-04-01,4.0,404.0
Financial Activities,2015-04-01,0.0,0.0
Professional & Business Services,2015-04-01,7.0,552.0
Leisure and Hospitality,2015-04-01,0.0,0.0
Other Services,2015-04-01,0.0,0.0
Agricultural Services,2015-03-01,0.0,0.0
Mining,2015-03-01,3.0,183.0
Construction,2015-03-01,3.0,197.0
Manufacturing,2015-03-01,4.0,507.0
Information,2015-03-01,0.0,0.0
Professional & Business Services,2015-03-01,10.0,756.0
Educational and Health Services,2015-03-01,0.0,0.0
Other Services,2015-03-01,0.0,0.0
Agricultural Services,2015-02-01,0.0,0.0
Mining,2015-02-01,0.0,0.0
Manufacturing,2015-02-01,3.0,328.0
Wholesale Trade,2015-02-01,0.0,0.0
Financial Activities,2015-02-01,0.0,0.0
Professional & Business Services,2015-02-01,6.0,688.0
Educational and Health Services,2015-02-01,0.0,0.0
Leisure and Hospitality,2015-02-01,0.0,0.0
Other Services,2015-02-01,0.0,0.0
Agricultural Services,2015-01-01,0.0,0.0
Mining,2015-01-01,0.0,0.0
Construction,2015-01-01,14.0,950.0
Manufacturing,2015-01-01,15.0,1110.0
Retail Trade,2015-01-01,6.0,886.0
Professional & Business Services,2015-01-01,8.0,580.0
Leisure and Hospitality,2015-01-01,9.0,625.0
Other Services,2015-01-01,0.0,0.0
Agricultural Services,2014-12-01,0.0,0.0
Construction,2014-12-01,27.0,2366.0
Manufacturing,2014-12-01,8.0,1017.0
Wholesale Trade,2014-12-01,0.0,0.0
Retail Trade,2014-12-01,6.0,513.0
"Transportation, Warehousing, Utilities",2014-12-01,6.0,740.0
Information,2014-12-01,0.0,0.0
Financial Activities,2014-12-01,0.0,0.0
Professional & Business Services,2014-12-01,20.0,1778.0
Leisure and Hospitality,2014-12-01,4.0,563.0
Agricultural Services,2014-11-01,0.0,0.0
Mining,2014-11-01,0.0,0.0
Construction,2014-11-01,24.0,2048.0
Manufacturing,2014-11-01,12.0,1229.0
Wholesale Trade,2014-11-01,0.0,0.0
"Transportation, Warehousing, Utilities",2014-11-01,3.0,319.0
Information,2014-11-01,0.0,0.0
Financial Activities,2014-11-01,0.0,0.0
Professional & Business Services,2014-11-01,15.0,1328.0
Leisure and Hospitality,2014-11-01,4.0,261.0
Other Services,2014-11-01,0.0,0.0
Agricultural Services,2014-10-01,0.0,0.0
Mining,2014-10-01,0.0,0.0
Construction,2014-10-01,3.0,226.0
Manufacturing,2014-10-01,8.0,1486.0
"Transportation, Warehousing, Utilities",2014-10-01,0.0,0.0
Professional & Business Services,2014-10-01,7.0,482.0
Leisure and Hospitality,2014-10-01,3.0,323.0
Other Services,2014-10-01,0.0,0.0
Agricultural Services,2014-09-01,0.0,0.0
Mining,2014-09-01,0.0,0.0
Manufacturing,2014-09-01,7.0,799.0
Wholesale Trade,2014-09-01,0.0,0.0
"Transportation, Warehousing, Utilities",2014-09-01,0.0,0.0
Professional & Business Services,2014-09-01,3.0,226.0
Agricultural Services,2014-08-01,0.0,0.0
Mining,2014-08-01,0.0,0.0
Construction,2014-08-01,4.0,326.0
Manufacturing,2014-08-01,10.0,772.0
Wholesale Trade,2014-08-01,0.0,0.0
Retail Trade,2014-08-01,7.0,477.0
Financial Activities,2014-08-01,0.0,0.0
Professional & Business Services,2014-08-01,7.0,582.0
Leisure and Hospitality,2014-08-01,0.0,0.0
Other Services,2014-08-01,0.0,0.0
Agricultural Services,2014-07-01,0.0,0.0
Mining,2014-07-01,0.0,0.0
Manufacturing,2014-07-01,15.0,2098.0
Wholesale Trade,2014-07-01,0.0,0.0
"Transportation, Warehousing, Utilities",2014-07-01,8.0,793.0
Information,2014-07-01,0.0,0.0
Financial Activities,2014-07-01,0.0,0.0
Professional & Business Services,2014-07-01,3.0,230.0
Other Services,2014-07-01,0.0,0.0
Agricultural Services,2014-06-01,0.0,0.0
Mining,2014-06-01,0.0,0.0
Construction,2014-06-01,4.0,296.0
Manufacturing,2014-06-01,3.0,270.0
Retail Trade,2014-06-01,3.0,202.0
"Transportation, Warehousing, Utilities",2014-06-01,9.0,1331.0
Professional & Business Services,2014-06-01,5.0,290.0
Educational and Health Services,2014-06-01,4.0,291.0
Leisure and Hospitality,2014-06-01,4.0,586.0
Agricultural Services,2014-05-01,0.0,0.0
Mining,2014-05-01,0.0,0.0
Construction,2014-05-01,7.0,1072.0
Manufacturing,2014-05-01,5.0,975.0
Retail Trade,2014-05-01,8.0,620.0
"Transportation, Warehousing, Utilities",2014-05-01,3.0,255.0
Financial Activities,2014-05-01,3.0,209.0
Professional & Business Services,2014-05-01,11.0,970.0
Educational and Health Services,2014-05-01,3.0,196.0
Leisure and Hospitality,2014-05-01,4.0,454.0
Other Services,2014-05-01,4.0,304.0
Agricultural Services,2014-04-01,0.0,0.0
Mining,2014-04-01,0.0,0.0
Manufacturing,2014-04-01,8.0,2091.0
Retail Trade,2014-04-01,3.0,570.0
"Transportation, Warehousing, Utilities",2014-04-01,5.0,379.0
Information,2014-04-01,0.0,0.0
Professional & Business Services,2014-04-01,7.0,698.0
Other Services,2014-04-01,0.0,0.0
Agricultural Services,2014-03-01,0.0,0.0
Mining,2014-03-01,0.0,0.0
Construction,2014-03-01,4.0,295.0
Manufacturing,2014-03-01,6.0,556.0
"Transportation, Warehousing, Utilities",2014-03-01,4.0,858.0
Information,2014-03-01,0.0,0.0
Professional & Business Services,2014-03-01,7.0,541.0
Leisure and Hospitality,2014-03-01,3.0,390.0
Other Services,2014-03-01,0.0,0.0
Agricultural Services,2014-02-01,0.0,0.0
Mining,2014-02-01,0.0,0.0
Construction,2014-02-01,3.0,261.0
Manufacturing,2014-02-01,6.0,512.0
Professional & Business Services,2014-02-01,4.0,257.0
Agricultural Services,2014-01-01,0.0,0.0
Mining,2014-01-01,0.0,0.0
Construction,2014-01-01,8.0,476.0
Manufacturing,2014-01-01,11.0,1854.0
Retail Trade,2014-01-01,8.0,1025.0
"Transportation, Warehousing, Utilities",2014-01-01,3.0,339.0
Professional & Business Services,2014-01-01,9.0,701.0
Educational and Health Services,2014-01-01,0.0,0.0
Leisure and Hospitality,2014-01-01,7.0,533.0
Other Services,2014-01-01,0.0,0.0
Agricultural Services,2013-12-01,0.0,0.0
Mining,2013-12-01,3.0,267.0
Construction,2013-12-01,35.0,3024.0
Manufacturing,2013-12-01,15.0,1384.0
Wholesale Trade,2013-12-01,0.0,0.0
Retail Trade,2013-12-01,5.0,617.0
"Transportation, Warehousing, Utilities",2013-12-01,7.0,2020.0
Information,2013-12-01,0.0,0.0
Financial Activities,2013-12-01,3.0,224.0
Professional & Business Services,2013-12-01,23.0,2232.0
Leisure and Hospitality,2013-12-01,7.0,1339.0
Other Services,2013-12-01,0.0,0.0
Agricultural Services,2013-11-01,0.0,0.0
Mining,2013-11-01,0.0,0.0
Construction,2013-11-01,17.0,1489.0
Manufacturing,2013-11-01,5.0,2499.0
Retail Trade,2013-11-01,3.0,215.0
Information,2013-11-01,0.0,0.0
Professional & Business Services,2013-11-01,13.0,1240.0
Educational and Health Services,2013-11-01,3.0,250.0
Leisure and Hospitality,2013-11-01,4.0,339.0
Agricultural Services,2013-10-01,0.0,0.0
Mining,2013-10-01,0.0,0.0
Construction,2013-10-01,4.0,358.0
Manufacturing,2013-10-01,8.0,835.0
Retail Trade,2013-10-01,4.0,561.0
Professional & Business Services,2013-10-01,8.0,659.0
Agricultural Services,2013-09-01,0.0,0.0
Mining,2013-09-01,0.0,0.0
Manufacturing,2013-09-01,5.0,586.0
Wholesale Trade,2013-09-01,0.0,0.0
Retail Trade,2013-09-01,0.0,0.0
Financial Activities,2013-09-01,0.0,0.0
Professional & Business Services,2013-09-01,3.0,191.0
Other Services,2013-09-01,0.0,0.0
Agricultural Services,2013-08-01,0.0,0.0
Mining,2013-08-01,0.0,0.0
Construction,2013-08-01,3.0,202.0
Manufacturing,2013-08-01,10.0,4783.0
Retail Trade,2013-08-01,3.0,226.0
Professional & Business Services,2013-08-01,6.0,443.0
Agricultural Services,2013-07-01,0.0,0.0
Mining,2013-07-01,0.0,0.0
Construction,2013-07-01,4.0,373.0
Manufacturing,2013-07-01,13.0,1288.0
Retail Trade,2013-07-01,6.0,822.0
"Transportation, Warehousing, Utilities",2013-07-01,3.0,314.0
Financial Activities,2013-07-01,0.0,0.0
Professional & Business Services,2013-07-01,5.0,556.0
Educational and Health Services,2013-07-01,5.0,405.0
Other Services,2013-07-01,0.0,0.0
Agricultural Services,2013-06-01,0.0,0.0
Mining,2013-06-01,0.0,0.0
Construction,2013-06-01,5.0,477.0
Manufacturing,2013-06-01,7.0,805.0
Wholesale Trade,2013-06-01,0.0,0.0
Retail Trade,2013-06-01,3.0,204.0
"Transportation, Warehousing, Utilities",2013-06-01,9.0,631.0
Professional & Business Services,2013-06-01,5.0,317.0
Other Services,2013-06-01,3.0,167.0
Agricultural Services,2013-05-01,0.0,0.0
Mining,2013-05-01,0.0,0.0
Construction,2013-05-01,10.0,653.0
Manufacturing,2013-05-01,11.0,4871.0
"Transportation, Warehousing, Utilities",2013-05-01,6.0,1480.0
Financial Activities,2013-05-01,0.0,0.0
Professional & Business Services,2013-05-01,11.0,863.0
Educational and Health Services,2013-05-01,5.0,326.0
Leisure and Hospitality,2013-05-01,9.0,2082.0
Agricultural Services,2013-04-01,0.0,0.0
Mining,2013-04-01,0.0,0.0
Construction,2013-04-01,7.0,648.0
Manufacturing,2013-04-01,12.0,1370.0
Retail Trade,2013-04-01,4.0,646.0
"Transportation, Warehousing, Utilities",2013-04-01,3.0,239.0
Financial Activities,2013-04-01,0.0,0.0
Professional & Business Services,2013-04-01,12.0,1210.0
Agricultural Services,2013-03-01,0.0,0.0
Mining,2013-03-01,0.0,0.0
Construction,2013-03-01,3.0,250.0
Manufacturing,2013-03-01,11.0,2384.0
Wholesale Trade,2013-03-01,0.0,0.0
Retail Trade,2013-03-01,6.0,452.0
"Transportation, Warehousing, Utilities",2013-03-01,6.0,1530.0
Financial Activities,2013-03-01,0.0,0.0
Professional & Business Services,2013-03-01,11.0,960.0
Leisure and Hospitality,2013-03-01,5.0,637.0
Agricultural Services,2013-02-01,0.0,0.0
Mining,2013-02-01,0.0,0.0
Manufacturing,2013-02-01,4.0,377.0
Retail Trade,2013-02-01,5.0,302.0
Professional & Business Services,2013-02-01,9.0,698.0
Educational and Health Services,2013-02-01,0.0,0.0
Leisure and Hospitality,2013-02-01,0.0,0.0
Other Services,2013-02-01,0.0,0.0
Agricultural Services,2013-01-01,0.0,0.0
Mining,2013-01-01,0.0,0.0
Construction,2013-01-01,12.0,854.0
Manufacturing,2013-01-01,9.0,2082.0
Retail Trade,2013-01-01,7.0,903.0
"Transportation, Warehousing, Utilities",2013-01-01,4.0,284.0
Financial Activities,2013-01-01,0.0,0.0
Professional & Business Services,2013-01-01,10.0,866.0
Educational and Health Services,2013-01-01,0.0,0.0
Leisure and Hospitality,2013-01-01,4.0,302.0
Agricultural Services,2012-12-01,0.0,0.0
Construction,2012-12-01,33.0,2702.0
Manufacturing,2012-12-01,22.0,2298.0
Wholesale Trade,2012-12-01,0.0,0.0
Retail Trade,2012-12-01,7.0,700.0
"Transportation, Warehousing, Utilities",2012-12-01,8.0,1131.0
Information,2012-12-01,0.0,0.0
Professional & Business Services,2012-12-01,24.0,2004.0
Educational and Health Services,2012-12-01,3.0,212.0
Leisure and Hospitality,2012-12-01,9.0,1612.0
Construction,2012-11-01,21.0,1867.0
Manufacturing,2012-11-01,17.0,6572.0
Retail Trade,2012-11-01,3.0,259.0
"Transportation, Warehousing, Utilities",2012-11-01,4.0,539.0
Financial Activities,2012-11-01,0.0,0.0
Professional & Business Services,2012-11-01,27.0,2564.0
Educational and Health Services,2012-11-01,0.0,0.0
Leisure and Hospitality,2012-11-01,4.0,378.0
Agricultural Services,2012-10-01,0.0,0.0
Mining,2012-10-01,0.0,0.0
